350.02	1.484978	0.005705
355.02	1.483782	0.005429
360.02	1.482611	0.005166
365.02	1.481465	0.004916
370.03	1.480343	0.004676
375.03	1.479243	0.004448
380.03	1.478167	0.004230
385.03	1.477112	0.004022
390.03	1.476078	0.003823
395.03	1.475065	0.003633
400.03	1.474072	0.003452
405.03	1.473099	0.003279
410.03	1.472145	0.003114
415.03	1.471209	0.002956
420.03	1.470291	0.002806
425.03	1.469390	0.002662
430.03	1.468506	0.002524
435.03	1.467639	0.002393
440.03	1.466788	0.002267
445.03	1.465953	0.002148
450.03	1.465133	0.002033
455.03	1.464328	0.001924
460.03	1.463537	0.001820
465.03	1.462760	0.001720
470.03	1.461997	0.001625
475.03	1.461248	0.001535
480.03	1.460511	0.001448
485.03	1.459788	0.001365
490.03	1.459076	0.001287
495.03	1.458377	0.001212
500.03	1.457690	0.001140
505.03	1.457014	0.001072
510.03	1.456349	0.001006
515.03	1.455696	0.000944
520.04	1.455053	0.000885
525.04	1.454421	0.000829
530.04	1.453798	0.000776
535.04	1.453186	0.000725
540.04	1.452584	0.000676
545.04	1.451991	0.000630
550.04	1.451407	0.000587
555.04	1.450833	0.000545
560.04	1.450267	0.000506
565.04	1.449710	0.000469
570.04	1.449162	0.000433
575.04	1.448622	0.000400
580.04	1.448090	0.000368
585.04	1.447566	0.000338
590.04	1.447050	0.000310
595.04	1.446541	0.000284
600.04	1.446040	0.000259
605.04	1.445546	0.000235
610.04	1.445059	0.000213
615.04	1.444579	0.000192
620.04	1.444106	0.000173
625.04	1.443640	0.000155
630.04	1.443181	0.000138
635.04	1.442727	0.000122
640.04	1.442280	0.000108
645.04	1.441840	0.000094
650.04	1.441405	0.000082
655.04	1.440976	0.000071
660.04	1.440553	0.000060
665.04	1.440136	0.000051
670.05	1.439724	0.000042
675.05	1.439318	0.000035
680.05	1.438917	0.000028
685.05	1.438521	0.000022
690.05	1.438131	0.000017
695.05	1.437746	0.000012
700.05	1.437365	0.000009
705.05	1.436989	0.000006
710.05	1.436619	0.000003
715.05	1.436253	0.000002
720.05	1.435891	0.000001
725.05	1.435534	0.000000
730.05	1.435182	0.000000
735.05	1.434833	0.000000
740.05	1.434489	0.000000
745.05	1.434150	0.000000
750.05	1.433814	0.000000
755.05	1.433483	0.000000
760.05	1.433155	0.000000
765.05	1.432831	0.000000
770.05	1.432512	0.000000
775.05	1.432195	0.000000
780.05	1.431883	0.000000
785.05	1.431575	0.000000
790.05	1.431269	0.000000
795.05	1.430968	0.000000
800.05	1.430670	0.000000
805.05	1.430375	0.000000
810.05	1.430084	0.000000
815.06	1.429795	0.000000
820.06	1.429511	0.000000
825.06	1.429229	0.000000
830.06	1.428950	0.000000
835.06	1.428675	0.000000
840.06	1.428402	0.000000
845.06	1.428133	0.000000
850.06	1.427866	0.000000

