250.00	1.488994
252.00	1.488326
254.00	1.487665
256.00	1.487011
258.00	1.486364
260.00	1.485724
262.00	1.485092
264.00	1.484467
266.00	1.483849
268.00	1.483238
270.00	1.482634
272.00	1.482038
274.00	1.481448
276.00	1.480865
278.00	1.480290
280.00	1.479721
282.00	1.479159
284.00	1.478604
286.00	1.478056
288.00	1.477514
290.00	1.476979
292.00	1.476450
294.00	1.475928
296.00	1.475412
298.00	1.474903
300.00	1.474400
302.00	1.473903
304.00	1.473412
306.00	1.472928
308.00	1.472449
310.00	1.471976
312.00	1.471509
314.00	1.471048
316.00	1.470593
318.00	1.470143
320.00	1.469699
322.00	1.469260
324.00	1.468826
326.00	1.468399
328.00	1.467976
330.00	1.467558
332.00	1.467146
334.00	1.466739
336.00	1.466336
338.00	1.465939
340.00	1.465546
342.00	1.465158
344.00	1.464775
346.00	1.464397
348.00	1.464023
350.00	1.463654
352.00	1.463289
354.00	1.462929
356.00	1.462572
358.00	1.462221
360.00	1.461873
362.00	1.461530
364.00	1.461190
366.00	1.460855
368.00	1.460523
370.00	1.460196
372.00	1.459872
374.00	1.459553
376.00	1.459237
378.00	1.458924
380.00	1.458615
382.00	1.458310
384.00	1.458009
386.00	1.457711
388.00	1.457416
390.00	1.457125
392.00	1.456837
394.00	1.456552
396.00	1.456270
398.00	1.455992
400.00	1.455717
402.00	1.455445
404.00	1.455176
406.00	1.454910
408.00	1.454647
410.00	1.454387
412.00	1.454130
414.00	1.453876
416.00	1.453624
418.00	1.453375
420.00	1.453129
422.00	1.452886
424.00	1.452645
426.00	1.452407
428.00	1.452172
430.00	1.451939
432.00	1.451708
434.00	1.451480
436.00	1.451254
438.00	1.451031
440.00	1.450810
442.00	1.450592
444.00	1.450375
446.00	1.450161
448.00	1.449950
450.00	1.449740
452.00	1.449533
454.00	1.449327
456.00	1.449124
458.00	1.448923
460.00	1.448724
462.00	1.448527
464.00	1.448332
466.00	1.448139
468.00	1.447948
470.00	1.447759
472.00	1.447571
474.00	1.447386
476.00	1.447202
478.00	1.447021
480.00	1.446841
482.00	1.446662
484.00	1.446486
486.00	1.446311
488.00	1.446138
490.00	1.445967
492.00	1.445797
494.00	1.445629
496.00	1.445462
498.00	1.445297
500.00	1.445134
502.00	1.444972
504.00	1.444812
506.00	1.444653
508.00	1.444496
510.00	1.444340
512.00	1.444186
514.00	1.444033
516.00	1.443881
518.00	1.443731
520.00	1.443583
522.00	1.443435
524.00	1.443289
526.00	1.443144
528.00	1.443001
530.00	1.442859
532.00	1.442718
534.00	1.442579
536.00	1.442440
538.00	1.442303
540.00	1.442167
542.00	1.442033
544.00	1.441899
546.00	1.441767
548.00	1.441635
550.00	1.441505
552.00	1.441377
554.00	1.441249
556.00	1.441122
558.00	1.440996
560.00	1.440872
562.00	1.440749
564.00	1.440626
566.00	1.440505
568.00	1.440384
570.00	1.440265
572.00	1.440147
574.00	1.440029
576.00	1.439913
578.00	1.439798
580.00	1.439683
582.00	1.439570
584.00	1.439457
586.00	1.439345
588.00	1.439235
590.00	1.439125
592.00	1.439016
594.00	1.438908
596.00	1.438801
598.00	1.438694
600.00	1.438589
602.00	1.438484
604.00	1.438381
606.00	1.438277
608.00	1.438175
610.00	1.438074
612.00	1.437973
614.00	1.437874
616.00	1.437775
618.00	1.437676
620.00	1.437579
622.00	1.437482
624.00	1.437386
626.00	1.437291
628.00	1.437197
630.00	1.437103
632.00	1.437010
634.00	1.436917
636.00	1.436826
638.00	1.436735
640.00	1.436644
642.00	1.436555
644.00	1.436466
646.00	1.436378
648.00	1.436290
650.00	1.436203
652.00	1.436117
654.00	1.436031
656.00	1.435946
658.00	1.435861
660.00	1.435777
662.00	1.435694
664.00	1.435612
666.00	1.435530
668.00	1.435448
670.00	1.435367
672.00	1.435287
674.00	1.435207
676.00	1.435128
678.00	1.435049
680.00	1.434971
682.00	1.434894
684.00	1.434817
686.00	1.434740
688.00	1.434665
690.00	1.434589
692.00	1.434514
694.00	1.434440
696.00	1.434366
698.00	1.434293
700.00	1.434220
702.00	1.434148
704.00	1.434076
706.00	1.434005
708.00	1.433934
710.00	1.433864
712.00	1.433794
714.00	1.433724
716.00	1.433655
718.00	1.433587
720.00	1.433519
722.00	1.433451
724.00	1.433384
726.00	1.433317
728.00	1.433251
730.00	1.433185
732.00	1.433120
734.00	1.433055
736.00	1.432991
738.00	1.432926
740.00	1.432863
742.00	1.432799
744.00	1.432737
746.00	1.432674
748.00	1.432612
750.00	1.432550
752.00	1.432489
754.00	1.432428
756.00	1.432368
758.00	1.432307
760.00	1.432248
762.00	1.432188
764.00	1.432129
766.00	1.432070
768.00	1.432012
770.00	1.431954
772.00	1.431897
774.00	1.431840
776.00	1.431783
778.00	1.431726
780.00	1.431670
782.00	1.431614
784.00	1.431559
786.00	1.431503
788.00	1.431449
790.00	1.431394
792.00	1.431340
794.00	1.431286
796.00	1.431233
798.00	1.431179
800.00	1.431127
802.00	1.431074
804.00	1.431022
806.00	1.430970
808.00	1.430918
810.00	1.430867
812.00	1.430816
814.00	1.430765
816.00	1.430715
818.00	1.430664
820.00	1.430615
822.00	1.430565
824.00	1.430516
826.00	1.430467
828.00	1.430418
830.00	1.430370
832.00	1.430321
834.00	1.430274
836.00	1.430226
838.00	1.430179
840.00	1.430132
842.00	1.430085
844.00	1.430038
846.00	1.429992
848.00	1.429946
850.00	1.429900
852.00	1.429855
854.00	1.429809
856.00	1.429764
858.00	1.429720
860.00	1.429675
862.00	1.429631
864.00	1.429587
866.00	1.429543
868.00	1.429499
870.00	1.429456
