Wl	n		k
210.01	1.581916	2.327284
220.01	1.653645	2.463855
230.02	1.745500	2.603478
240.02	1.860270	2.743031
250.02	2.000367	2.878263
260.02	2.167393	3.003736
270.02	2.361607	3.112939
280.02	2.581362	3.198656
290.02	2.822658	3.253635
300.02	3.078972	3.271527
310.02	3.341545	3.247938
320.02	3.600183	3.181349
330.02	3.844475	3.073595
340.02	4.065144	2.929736
350.02	4.255184	2.757309
360.02	4.410498	2.565188
370.03	4.529947	2.362374
380.03	4.614912	2.156996
390.03	4.668582	1.955694
400.03	4.695183	1.763381
410.03	4.699324	1.583303
420.03	4.685506	1.417283
430.03	4.657828	1.266036
440.03	4.619835	1.129477
450.03	4.574481	1.006990
460.03	4.524152	0.897644
470.03	4.470731	0.800344
480.03	4.415672	0.713944
490.03	4.360077	0.637310
500.03	4.304760	0.569371
510.03	4.250314	0.509135
520.04	4.197158	0.455703
530.04	4.145575	0.408268
540.04	4.095749	0.366116
550.04	4.047785	0.328614
560.04	4.001733	0.295206
570.04	3.957601	0.265406
580.04	3.915369	0.238788
590.04	3.874992	0.214979
600.04	3.836416	0.193654
610.04	3.799573	0.174528
620.04	3.764392	0.157351
630.04	3.730797	0.141907
640.04	3.698712	0.128003
650.04	3.668064	0.115473
660.04	3.638777	0.104167
670.05	3.610781	0.093958
680.05	3.584006	0.084729
690.05	3.558388	0.076381
700.05	3.533864	0.068823
710.05	3.510374	0.061976
720.05	3.487863	0.055770
730.05	3.466277	0.050142
740.05	3.445566	0.045036
750.05	3.425685	0.040402
760.05	3.406588	0.036197
770.05	3.388234	0.032381
780.05	3.370584	0.028916
790.05	3.353601	0.025773
800.05	3.337252	0.022921
810.05	3.321503	0.020336
820.06	3.306325	0.017993
830.06	3.291689	0.015872
840.06	3.277568	0.013953
850.06	3.263937	0.012219
860.06	3.250772	0.010655
870.06	3.238051	0.009246
880.06	3.225754	0.007980
890.06	3.213860	0.006845
900.06	3.202350	0.005830
910.06	3.191208	0.004925
920.06	3.180416	0.004121
930.06	3.169960	0.003411
940.06	3.159823	0.002787
950.06	3.149993	0.002242
960.06	3.140457	0.001770
970.07	3.131200	0.001366
980.07	3.122213	0.001023
990.07	3.113484	0.000737
1000.07	3.105002	0.000505
1010.07	3.096757	0.000321
1020.07	3.088739	0.000182
1030.07	3.080940	0.000084
1040.07	3.073352	0.000025
1050.07	3.065965	0.000001
1060.07	3.058772	0.000000
1070.07	3.051767	0.000000
1080.07	3.044941	0.000000
1090.07	3.038288	0.000000
1100.07	3.031802	0.000000
1110.08	3.025477	0.000000
1120.08	3.019307	0.000000
1130.08	3.013287	0.000000
1140.08	3.007410	0.000000
1150.08	3.001673	0.000000
1160.08	2.996071	0.000000
1170.08	2.990598	0.000000
1180.08	2.985251	0.000000
1190.08	2.980025	0.000000
1200.08	2.974916	0.000000

